KOD10;NEV
S3740;A petefészek sérülése
S3750;A petevezeték sérülése
S3760;A méh sérülése
S3770;Több medencei szerv sérülése
S3780;Egyéb medencei szerv sérülése
S3790;A medence k.m.n. szervének sérülése
S3800;A külsõ nemiszervek zúzódása
S3810;A has és medence k.m.n. részeinek zúzódása
S3820;A külsõ nemiszervek traumás csonkolása
S3830;A has és medence egyéb és k.m.n. részének traumás csonkolása
S3900;A has és medence izmainak és inainak sérülése
S3960;A hasi és medencei szervek sérülése
S3970;A has és medence többszörös sérülése
S3980;A has és medence egyéb specifikus sérülése
S3990;A has és medence k.m.n. sérülése
S4000;A váll és felkar zúzódása
S4070;A váll és felkar többszörös felületi sérülése
S4080;A váll és felkar egyéb felületi sérülése
S4090;A váll és felkar k.m.n. felületi sérülése
S4100;A váll nyílt sebe
S4110;A felkar nyílt sebe
S4170;A váll és felkar többszörös nyílt sebe
S4180;A vállöv egyéb és k.m.n. részének nyílt sebe
S4200;Kulcscsont-törés
S4210;Lapocka-törés
S4220;A humerus proximális végének törése
S4230;A humerus középsõ részének törése
S4240;A humerus distalis végének törése
S4270;A kulcscsont, lapocka és felkarcsont többszörös törése
S4280;A váll és felkar egyéb részeinek törése
S4290;A vállöv k.m.n. részének törése
S4300;A váll ficama
S4310;Az acromioclavicularis izület ficama
S4320;A sternoclavicularis izület ficama
S4330;A vállöv k.m.n. részének ficama
S4340;A vállizület rándulása és húzódása
S4350;Az acromioclavicularis izület rándulása és húzódása
S4360;A sternoclavicularis izület rándulása és húzódása
S4370;A vállöv k.m.n. részeinek rándulása és húzódása
S4400;Az ulnaris ideg sérülése a felkar magasságában
S4410;A nervus medianus sérülése a felkar magasságában
S4420;A nervus radialis sérülése a felkar magasságában
S4430;A nervus axillaris sérülése
S4440;A nervus musculocutaneus sérülése
S4450;A váll és felkar érzõidegének sérülése a váll és felkar szintjében
S4470;Több ideg sérülése a váll és felkar szintjében
S4480;Egyéb idegek sérülése a váll és felkar szintjében
S4490;K.m.n. ideg sérülése a váll és felkar szintjében
S4500;Az arteria axillaris sérülése
S4510;A felkar arteriájának sérülése
S4520;Az axillaris vagy brachialis vena sérülése
S4530;A váll és felkar felületes venájának sérülése
S4570;A váll és felkar több erének sérülése
S4580;A váll és felkar egyéb ereinek sérülése
S4590;A váll és felkar k.m.n. erének sérülése
S4600;A váll rotator köpenye inának sérülése
S4610;A biceps és a hosszú fej inának sérülése
S4620;A biceps egyéb részei izmának és inának sérülése
S4630;A triceps izmának és inának sérülése
S4670;A váll és felkar több izmának és inának sérülése
S4680;A váll és felkar egyéb izmainak és inainak sérülése
S4690;A váll és felkar k.m.n. izmának és inának sérülése
S47H0;A váll és felkar összenyomatása
S4800;A vállizület traumás amputatiója
S4810;A felkar traumás amputatiója
S4890;A felkar k.m.n. szintjének traumás amputatiója
S4970;A váll és felkar többszörös sérülése
S4980;A váll és felkar egyéb megnevezett sérülései
S4990;A váll és felkar k.m.n. sérülése
S5000;A könyök zúzódása
S5010;Az alkar egyéb és k.m.n. részeinek zúzódása
S5070;Az alkar többszörös felületes sérülése
S5080;Az alkar egyéb felületes sérülései
S5090;Az alkar k.m.n. felületes sérülése
S5100;A könyök nyílt sebe
S5170;Az alkar többszörös nyílt sebe
S5180;Az alkar egyéb részeinek nyílt sebe
S5190;Az alkar k.m.n. részének nyílt sebe
S5200;A singcsont (ulna) proximalis végének törése
S5210;Az orsócsont (radius) proximális végének törése
S5220;A singcsont (ulna) testének törése
S5230;Az orsócsont (radius) testének törése
S5240;A sing- és orsócsont testének törése
S5250;Az orsócsont (radius) distalis végének törése
S5260;A sing- és orsócsont distalis végének törése
S5270;Az alkar többszörös törése
S5280;Az alkar egyéb részeinek törése
S5290;Az alkar k.m.n. részének törése
S5300;A radius fejecs ficama
S5310;A könyök k.m.n. részének ficama
S5320;Az orsócsont (radius) collateralis szalagjának traumás szakadása
S5330;A singcsont (ulna) collateralis szalagjának traumás szakadása
S5340;A könyök rándulása és húzódása
S5400;A N. ulnaris sérülése az alkar szintjében
S5410;A N. medianus sérülése az alkar szintjében
S5420;A N. radialis sérülése az alkar szintjében
S5430;Az érzõidegek sérülése az alkar szintjében
S5470;Több ideg sérülése az alkar szintjében
S5480;Egyéb idegek sérülése az alkar szintjében
S5490;K.m.n. idegek sérülése az alkar szintjében
S5500;Az arteria ulnaris sérülése az alkar szintjében
S5510;Az arteria radialis sérülése az alkar szintjében
S5520;Az alkar vénáinak sérülése
S5570;Az alkar több erének sérülése
S5580;Az alkar egyéb ereinek sérülése
S5590;Az alkar k.m.n. erének sérülése
S5600;A hüvelykujj hajlítóizmának és inának sérülése az alkar szintjében
S5610;A kéz többi ujja hajlító izmainak-inainak sérülése az alkar szintjében
S5620;Az alkar egyéb hajlító izmainak-inainak sérülése az alkar szintjében
S5630;A hüvelykujj feszítõ-távolító izmai-inai sérülése az alkar szintjében
S5640;A kéz egyéb ujjai feszítõ izmai-inai sérülése az alkar szintjében
S5650;Az alkar egyéb feszítõ izmainak-inainak sérülése az alkar szintjében
S5670;Több izom és ín sérülése az alkar szintjében
S5680;Egyéb és k.m.n. izmok és inak sérülése az alkar szintjében
S5700;A könyök összenyomatása
S5780;Az alkar egyéb részeinek összenyomatása
S5790;Az alkar k.m.n. részének összenyomatása
S5800;A könyök traumás amputatiója
S5810;Az alkar traumás amputatiója
S5890;Az alkar traumás amputatiója szint megnevezése nélkül
S5970;A könyök és alkar többszörös sérülése
S5980;Az alkar egyéb meghatározott sérülései
S5990;Az alkar k.m.n. sérülése
S6000;A kéz ujjainak zúzódása a köröm sérülése nélkül
S6010;A kéz ujj(-ak) zúzódása a köröm sérülésével
S6020;A csukló és kéz egyéb részeinek zúzódása
S6070;A csukló és kéz többszörös felületes sérülése
S6080;A csukló és kéz egyéb felületes sérülései
S6090;A csukló és kéz k.m.n. felületes sérülése
S6100;A kéz ujj(-ak) nyílt sebe a köröm sérülése nélkül
S6110;A kéz ujj(-ak) nyílt sebe a köröm sérülésével
S6170;A csukló és kéz többszörös nyílt sebe
S6180;A csukló és kéz más részeinek nyílt sebe
S6190;A csukló és kéz k.m.n. részének nyílt sebe
S6200;A kéz sajkacsontjának törése
S6210;Egyéb kéztõcsontok törése
S6220;Az elsõ metacarpus törése
S6230;A metacarpus egyéb csontjának törése
S6240;A kézközépcsontok többszörös törése
S6250;A hüvelykujj törése
S6260;A kéz egyéb ujjának törése
S6270;A kéz ujjainak többszörös törése
S6280;A csukló és kéz k.m.n. részeinek törése
S6300;A csukló ficama
S6310;A kéz ujjának ficama
S6320;A kéz ujjainak többszörös ficama
S6330;A csukló szalagjának traumás szakadása
S6340;A kéz ujjszalagjának szakadása a metacarpophal.-interphal. izületeknél
S6350;A csukló rándulása és húzódása
S6360;A kéz ujjainak rándulása és húzódása
S6370;A kéz k.m.n. részeinek rándulása húzódása
S6400;Az ulnaris ideg sérülése a csukló és kéz szintjében
S6410;A medianus sérülése a kéz és csukló szintjében
S6420;A radialis ideg sérülése a csukló és kéz szintjében
S6430;A hüvelykujj idegének sérülése
S6440;A kéz egyéb ujjának idegsérülése
S6470;Több ideg sérülése a csukló és kéz szintjében
S6480;Egyéb idegek sérülése a csukló és kéz szintjében
S6490;K.m.n. ideg sérülése a csukló és kéz szintjében
S6500;Az art. ulnaris sérülése a csukló és kéz szintjében
S6510;Az art. radialis sérülése a csukló és kéz szintjében
S6520;Az arcus palmaris superficialis sérülése
S6530;Az arcus palmaris profundus sérülése
S6540;A hüvelykujj ereinek sérülése
S6550;Az erek sérülése a kéz többi ujján
S6570;Több ér sérülése a csukló és kéz szintjében
S6580;Egyéb erek sérülése a csukló és kéz szintjében
S6590;K.m.n. ér sérülése a csukló és kéz szintjében
S6600;A musc.flexor poll.longus izma-ina sérülése a csukló, kéz szintjében
S6610;A kéz egyéb ujja hajlító izma-ina sérülése csukló, kéz szintjében
S6620;A hüvelyujj feszítõ izmának-inának sérülése a csukló, kéz szintjében
S6630;A kéz egyéb ujja feszítõ izma-ina sérülése a csukló, kéz szintjében
S6640;A hüvelykujj belsõ izmainak-inainak sérülése a csukló, kéz szintjében
S6650;Egyéb ujj belsõ izmainak-inainak sérülése a csukló és kéz szintjében
S6660;Többszörös hajlító izom és ín sérülés a csukló és kéz szintjében
S6670;Többszörös feszítõ izom és ín sérülés a csukló és kéz szintjében
S6680;Egyéb izmok és inak sérülése a csukló és kéz szintjében
S6690;K.m.n. izom és ín sérülése a csukló és kéz szintjében
S6700;A hüvelykujj és egyéb ujj/ak/ összenyomatása
S6780;A csukló és kéz egyéb és k.m.n. részeinek összenyomatása
S6800;A hüvelykujj (teljes) (részleges) traumás csonkolása
S6810;Egyéb kézujj (teljes) (részleges) traumás csonkolása
S6820;Két vagy több kézujj kizárólagos traumás csonkolása
S6830;Kézujj vagy részeinek, csukló, kéz egyéb részeinek együttes csonkolása
S6840;A kéz traumás csonkolása a csukló szintjében
S6880;A csukló és kéz egyéb részeinek traumás csonkolása
S6890;A csukló és kéz traumás csonkolása a szint meghatározása nélkül
S6970;A csukló és kéz többszörös sérülése
S6980;A csukló és kéz egyéb meghatározott sérülései
S6990;A csukló és kéz k.m.n. sérülése
S7000;A csípõ zúzódása
S7010;A comb zúzódása
S7070;A csípõ és comb többszörös felületes sérülése
S7080;A csípõ és comb egyéb felületes sérülései
S7090;A csípõ és comb k.m.n. felületes sérülése
S7100;A csípõ nyílt sebe
S7110;A comb nyílt sebe
S7170;A csípõ és comb többszörös nyílt sebe
S7180;A medenceöv egyéb és k.m.n. részeinek nyílt sebe
S7200;A combnyak törése
S7210;Pertrochanter törés
S7220;Subtrochantericus törés
S7230;A combcsont testének törése
S7240;A combcsont distalis törése
S7270;A combcsont többszörös törése
S7280;A combcsont egyéb részeinek törései
S7290;A combcsont k.m.n. részének törése
S7300;A csípõ ficama
S7310;A csípõ rándulása és húzódása
S7400;A N. ischiadicus sérülése a csípõ és comb szintjében
S7410;A N. femoralis sérülése a csípõ és comb szintjében
S7420;Érzõideg sérülése a csípõ és comb szintjében
S7470;Több ideg sérülése a csípõ és comb szintjében
S7480;Egyéb idegek sérülése a csípõ és comb szintjében
S7490;K.m.n. ideg sérülése a csípõ és comb szintjében
S7500;Az art. femoralis sérülése
S7510;A vena femoralis sérülése a csípõ és comb szintjében
S7520;A vena saphena magna sérülése a csípõ és comb szintjében
S7570;Több ér sérülése a csípõ és comb szintjében
S7580;Egyéb erek sérülése a csípõ és comb szintjében
S7590;K.m.n. ér sérülése a csípõ és comb szintjében
S7600;A csípõ izmainak és inainak sérülése
S7610;A musc. quadriceps és inának sérülése
S7620;A comb adductor izmainak és inainak sérülése
S7630;A comb hátsó izomcsoportja izmainak és inainak sérülése
S7640;Egyéb és k.m.n. izmok és inak sérülése a comb szintjében
S7670;A csípõ több izmának és inának sérülése a comb szintjében
S7700;A csípõ összenyomatása
S7710;A comb összenyomatása
S7720;A csípõ és comb összenyomatása
S7800;A csípõizület traumás csonkolása
S7810;Csípõ és térd közötti traumás csonkolás
S7890;A csípõ és comb traumás csonkolása a szint meghatározása nélkül
S7970;A csípõ és comb többszörös sérülése
S7980;A csípõ és comb egyéb meghatározott sérülései
S7990;A csípõ és comb k.m.n. sérülése
S8000;A térd zúzódása
S8010;A lábszár egyéb és k.m.n. részeinek zúzódása
S8070;A lábszár többszörös felületes sérülése
S8080;A lábszár egyéb felületes sérülései
S8090;A lábszár k.m.n. felületes sérülése
S8100;A térd nyílt sebe
S8170;A lábszár többszörös nyílt sebe
S8180;A lábszár egyéb részeinek nyílt sebe
S8190;A lábszár k.m.n. részének nyílt sebe
S8200;A térdkalács (patella) törése
S8210;A sípcsont proximalis végének törése
S8220;A sípcsont (tibia) testének törése
S8230;A sípcsont (tibia) distalis végének törése
S8240;A szárkapocscsont (fibula) törése
S8250;A belboka törése
S8260;A külboka törése
S8270;A lábszár többszörös törése
S8280;A lábszár egyéb részeinek törése
S8290;A lábszár k.m.n. részének törése
S8300;A térdkalács ficama
S8310;A térd ficama
S8320;A meniscus heveny sérülése
S8330;A térd izületi porcának heveny sérülése
S8340;A térd külsõ és belsõ szalagjainak rándulása és húzódása
S8350;A térd elülsõ és hátsó keresztszalagjának rándulása és húzódása
S8360;A térd k.m.n. részeinek rándulása és húzódása
S8370;A térd komplex sérülése
S8400;A N. tibialis sérülése a lábszár szintjében
S8410;A N. peroneus sérülése a lábszár szintjében
S8420;Érzõideg sérülése a lábszár szintjében
S8470;Több ideg sérülése a lábszár szintjében
S8480;Egyéb idegek sérülése a lábszár szintjében
S8490;K.m.n. ideg sérülése a lábszár szintjében
S8500;Az art. poplitea sérülése
S8510;Az art. tibialis (ant.) (post.) sérülése
S8520;Az art. peronea sérülése
S8530;A vena saphena magna sérülése a lábszár szintjében
S8540;A vena saphena parva sérülése a lábszár szintjében
S8550;A vena poplitea sérülése
S8570;Több ér sérülése a lábszár szintjében
S8580;Egyéb erek sérülése a lábszár szintjében
S8590;K.m.n. ér sérülése a lábszár szintjében
S8600;Az Achilles-ín sérülése
S8610;A hátsó izomcsoport egyéb inának sérülése a lábszár szintjében
S8620;Az elülsõ izomcsoport izmainak sérülése a lábszár szintjében
S8630;A peroneus izomcsoport izmainak-inainak sérülése a lábszár szintjében
S8670;Több izom és ín sérülése a lábszár szintjében
S8680;Egyéb izmok és inak sérülése a lábszár szintjében
S8690;K.m.n. izom és ín sérülése a lábszár szintjében
S8700;A térd összenyomatása
S8780;A lábszár egyéb és k.m.n. részeinek összenyomatása
S8800;A térd traumás csonkolása
S8810;A lábszár traumás csonkolása
S8890;A lábszár traumás csonkolása, szint k.m.n.
S8970;A lábszár többszörös sérülése
S8980;A lábszár egyéb meghatározott sérülései
S8990;A lábszár k.m.n. sérülése
S9000;A boka zúzódása
S9010;A lábujj(-ak) zúzódása körömsérülés nélkül
S9020;A lábujj(-ak) zúzódása körömsérüléssel
S9030;A láb egyéb és k.m.n. részének zúzódása
S9070;A láb és boka többszörös felületes sérülése
S9080;A láb és boka egyéb felületes sérülése
S9090;A láb és boka k.m.n. felületes sérülése
S9100;A boka nyílt sebe
S9110;A lábujj(-ak) nyílt sebe köröm sérülés nélkül
S9120;A lábujj(-ak) nyílt sebe köröm sérüléssel
S9130;A láb egyéb részeinek sebe
S9170;A boka és láb többszörös nyílt sebe
S9200;A sarokcsont törése
S9210;Az ugrócsont törése
S9220;Egyéb lábtõ csont(ok) törése
S9230;Lábközépcsont törése
S9240;Az öregujj törése
S9250;Más lábujj törése
S9270;A láb többszörös törése
S9290;A láb törése, k.m.n.
S9300;A boka ficama
S9310;A lábujj(ak) ficama
S9320;A boka- és láb-szalagok szakadása
S9330;A láb egyéb és k.m.n. részének ficama
S9340;A boka rándulása és húzódása
S9350;A lábujj(-ak) rándulása és húzódása
S9360;A láb egyéb és k.m.n. részeinek rándulása húzódása
S9400;A N. plantaris lateralis sérülése
S9410;A N. plantaris medialis sérülése
S9420;A N. peroneus profundus sérülése a boka és láb szintjében
S9430;Érzõideg sérülése a boka és láb szintjében
S9470;A boka és láb több idegének sérülése a boka és láb szintjében
S9480;Egyéb idegek sérülése a boka és láb szintjében
S9490;K.m.n. ideg sérülése a boka és láb szintjében
S9500;Az art. dorsalis pedis sérülése
S9510;Az art. plantaris sérülése
S9520;A vena dorsalis pedis sérülése
S9570;A boka és láb több erének sérülése a boka és láb szintjében
S9580;A boka és láb egyéb ereinek sérülése a boka és láb szintjében
S9590;K.m.n. erek sérülése a boka és láb szintjében
S9600;A lábujj hosszú hajlító izma-ina sérülése a boka és lábszintjében
S9610;A lábujj hosszú feszítõ ina-izma sérülése a boka és lábszintjében
S9620;A boka és láb belsõ izmainak-inainak sérülése a boka és láb szintjében
S9670;A boka és láb több izmának-inának sérülése a boka és láb szintjében
S9680;A boka és láb egyéb izmainak-inainak sérülése a boka és láb szintjében
S9690;K.m.n. izom és ín sérülése a boka és ín szintjében
S9700;A boka összenyomatása
S9710;A lábujj(-ak) összenyomatása
S9780;A boka és láb egyéb részeinek összenyomatása
S9800;A láb traumás csonkolása a boka szintjében
S9810;Egy lábujj traumás csonkolása
S9820;Két vagy több lábujj traumás csonkolása
S9830;A láb egyéb részeinek traumás csonkolása
S9840;A láb traumás csonkolása szint meghatározása nélkül
S9970;A boka és láb többszörös sérülése
S9980;A boka és láb egyéb megnevezett sérülése
S9990;A boka és láb k.m.n. sérülése
T0000;Felületes sérülések a fejen és a nyakon
T0010;A mellkas és has, derék és medence tájék együttes felületes sérülései
T0020;A felsõ végtag(ok) több régiójának felületes sérülései
T0030;Az alsó végtag(ok) több régiójának felületes sérülései
T0060;Felsõ végtag több régiója és alsó végtag együttes felületes sérülései
T0080;Testtájékok egyéb kombinációban lévõ felületes sérülései
T0090;Többszörös felületes sérülések, k.m.n.
T0100;Nyílt sebek a fejen és a nyakon
T0110;Nyílt sebek a mellkason és hason, a deréktájon és medence területén
T0120;Nyílt sebek a felsõ végtag(ok) több tájékán
T0130;Nyílt sebek az alsó végtag(ok) több tájékán
T0160;Nyílt sebek a felsõ és alsó végtag(ok)on több tájékon
T0180;A testtájékokon egyéb kombinációban lévõ nyílt sebek
T0190;Többszörös nyílt sebek, k.m.n.
T0200;Fejen és nyakon lévõ csontok törései
T0210;A törzs, derék és medence csontjainak együttes törései
T0220;Az egyik felsõ végtag csontjainak több tájékon lévõ törései
T0230;Az egyik alsó végtag csontjainak több tájékon lévõ törései
T0240;Mindkét felsõ végtag csontjainak több tájékon lévõ törései
T0250;Mindkét alsó végtag csontjainak több tájékon lévõ törései
T0260;A felsõ- és alsó végtag(ok) csontjainak több tájékon lévõ törései
T0270;A mellkas, hát alsó részei, medence és végtagcsontok együttes törései
T0280;Testtájékok csontjainak egyéb kombinációban lévõ törései
T0290;Többszörös törések, k.m.n.
T0300;Ficam, rándulás és húzódás a fejen és a nyakon
T0310;Ficam, rándulás és húzódás a mellkason, deréktájon és a medencén
T0320;A felsõ végtag(ok) több tájékának ficama, rándulása és húzódása
T0330;Az alsó végtag(ok) több tájékának ficama, rándulása és húzódása
T0340;Az alsó és felsõ végtagok több tájékának ficama, rándulása és húzódása
T0380;Testtájékok egyéb kombinációban lévõ ficama és húzódása
T0390;Többszörös ficamok, rándulások és húzódások, k.m.n.
T0400;Összenyomatásos sérülések a fejen és a nyakon
T0410;Összenyomatásos sérülések a mellkason, hason, deréktájon és a medencén
T0420;A felsõ végtag(ok) többszörös összenyomatásos sérüléseik
T0430;Az alsó végtag(ok) többszörös összenyomatásos sérülései
T0440;Az alsó és felsõ végtagok együttes összenyomatásos sérülései
T0470;A mellkas, has, deréktáj és medence együttes összenyomatásos sérülései
T0480;Testtájékok egyéb kombinációban lévõ összenyomatásos sérülései
T0490;Többszörös összenyomatásos sérülések, k.m.n.
T0500;Mindkét kéz traumás amputatiója
T0510;Az egyik kéz és a másik kar traumás amputatiója [kivétel a kéz]
T0520;Mindkét kar traumás amputatiója [bármilyen szintben]
T0530;Mindkét láb traumás amputatiója
T0540;Egyik láb és másik lábszár traumás amputatiója [kivéve másik lábfej]
T0550;Mindkét lábszár traumás amputatiója [bármilyen szintben]
T0560;Felsõ és alsó végtag bármilyen komb. traumás amputat. k.m.n. szintben
T0580;Testtájékok egyéb kombinációban való traumás amputatiója
T0590;Többszörös traumás amputatio, k.m.n.
T0600;Agyállomány-agyidegek-nyakszinti idegek-gerincvelõ együttes sérülése
T0610;Idegek, gerincvelõ sérülése más testtájék többsz. sérüléseivel együtt
T0620;Idegek sérülése több testtájékkal együtt
T0630;Erek sérülése több testtájékkal együtt
T0640;Izmok és inak sérülése több testtájékkal együtt
T0650;Mellüregi sérülések hasüregi és medencei szervek sérüléseivel együtt
T0680;Egyéb meghatározott sérülések több testtájékon együtt
T07H0;Többszörös sérülések, k.m.n.
T08H0;Gerinctörés, szintje nem meghatározott
T0900;A törzs felületes sérülései, szint k.m.n.
T0910;A törzs nyílt sebe, szint k.m.n.
T0920;A törzs k.m.n. izületének és szalagjának ficama, rándulása és húzódása
T0930;A gerincvelõ sérülése, k.m.n. szintben
T0940;K.m.n. ideg, gerincvelõi ideggyök és törzsi idegfonat sérülése
T0950;K.m.n. izom és ín sérülés a törzsön
T0960;A törzs traumás amputatiója, k.m.n. helyen
T0980;Egyéb meghatározott sérülés a törzsön, szint k.m.n.
T0990;K.m.n. sérülés a törzsön, szint k.m.n.
T10H0;A felsõ végtag törése, szintje nem meghatározott
T1100;A kar felületes sérülése, szint k.m.n.
T1110;Nyílt sérülés a felsõ végtagon, szint k.m.n.
T1120;Felsõ végtag izülete-szalagja ficama-rándulása-húzódása k.m.n.szintben
T1130;A felsõ végtag k.m.n. idegének sérülése, szint k.m.n.
T1140;A felsõ végtag k.m.n. erének sérülése, szint k.m.n.
T1150;A felsõ végtag k.m.n. izom- és ín sérülése, szint k.m.n.
T1160;A felsõ végtag traumás amputatiója, szint k.m.n.
T1180;A felsõ végtag egyéb meghatározott sérülése, szint k.m.n.
T1190;A felsõ végtag k.m.n. sérülése, szint k.m.n.
T12H0;Az alsó végtag törése, szintje nem meghatározott
T1300;Az alsó végtag felületes sérülése, szint k.m.n.
T1310;Az alsó végtag nyílt sérülése, szint k.m.n.
T1320;Alsó végtag izülete-szalagja ficama-rándulása-húzódása k.m.n. szintben
T1330;Az alsó végtag k.m.n. idegének sérülése, szint k.m.n.
T1340;Az alsó végtag k.m.n. erének sérülése, szint k.m.n.
T1350;Az alsó végtag k.m.n. izmának és inának sérülése, szint k.m.n.
T1360;Az alsó végtag traumás amputatiója, szint k.m.n.
T1380;Az alsó végtag egyéb k.m.n. sérülései, szint k.m.n.
T1390;Az alsó végtag k.m.n. sérülése, szint k.m.n.
T1400;Nem meghatározott testtájék felületes sérülése
T1410;Nem meghatározott testtájék nyílt sebe
T1420;Nem meghatározott testtájék csontjának törése
T1430;Nem meghatározott testtájék ficama, rándulása és húzódása
T1440;Nem meghatározott testtájék idegének vagy idegeinek sérülése
T1450;Nem meghatározott testtájék ereinek sérülése
T1460;Nem meghatározott testtájék izmainak és szalagjainak sérülése
T1470;Nem meghatározott testtájék összenyomatása és traumás amputatiója
T1480;Nem meghatározott testtájék egyéb sérülései
T1490;Nem meghatározott testtájék sérülése, k.m.n.
T1500;Idegen test a corneában
T1510;Idegen test a kötõhártya zsákban
T1580;Idegen test a külsõ szem egyéb és több részében
T1590;Idegen test a külsõ szem k.m.n. részében
T16H0;Idegentest a fülben
T1700;Idegen test az orrmelléküregben
T1710;Idegen test az orrnyílásban
T1720;Idegentest a garatban
T1730;Idegentest a gégében
T1740;Idegentest a légcsõben
T1750;Idegentest a hörgõben
T1780;A légutak egyéb és több részének idegentestje
T1790;Idegentest a légutakban, hely k.m.n.
T1800;Idegentest a szájban
T1810;Idegentest a nyelõcsõben
T1820;Idegentest a gyomorban
T1830;Idegentest a vékonybélben
T1840;Idegentest a vastagbélben
T1850;Idegentest a végbélben és végbélnyílásban
T1880;Idegentest az emésztõrendszer más és több helyén
T1890;Idegentest az emésztõrendszerben, hely k.m.n.
T1900;Idegentest a húgycsõben
T1910;Idegentest a hólyagban
T1920;Idegentest a szeméremtestben és hüvelyben
T1930;Idegentest a méhben, [bármely rész]
T1980;Idegentest a nemi és húgyúti szervek más és több helyén
T1990;Idegentest a nemi és húgyúti szervekben, k.m.n. helyen
T2000;A fej és nyak égése, foka nem meghatározott
T2010;A fej és nyak elsõfokú égése
T2020;A fej és nyak másodfokú égése
T2030;A fej és nyak harmadfokú égése
T2040;A fej és nyak maródása, foka k.m.n.
T2050;Fej és nyak elsõfokú maródása
T2060;A fej és nyak másodfokú maródása
T2070;A fej és nyak harmadfokú maródása
T2100;A törzs nem meghatározott fokú égése
T2110;A törzs elsõfokú égése
T2120;A törzs másodfokú égése
T2130;A törzs harmadfokú égése
T2140;A törzs k.m.n. fokú maródása
T2150;A törzs elsõfokú maródása
T2160;A törzs másodfokú maródása
T2170;A törzs harmadfokú maródása
T2200;A váll és felsõ végtag k.m.n. fokú égése, kivéve a csukló és kéz
T2210;A váll és felsõ végtag elsõfokú égése, kivéve a csukló és kéz
T2220;A váll és felsõ végtag másodfokú égése, kivéve a csukló és kéz
T2230;A váll és felsõ végtag harmadfokú égése, kivéve a csukló és kéz
T2240;A váll és felsõ végtag k.m.n. fokú maródása, kivéve a csukló és kéz
T2250;A váll és felsõ végtag elsõfokú maródása, kivéve a csukló és kéz
T2260;A váll és felsõ végtag másodfokú maródása, kivéve a csukló és kéz
T2270;A váll és felsõ végtag harmadfokú maródása, kivéve csukló és kéz
T2300;A csukló és kéz k.m.n. fokú égési sérülése
T2310;A csukló és kéz elsõfokú égési sérülése
T2320;A csukló és kéz másodfokú égési sérülése
T2330;A csukló és kéz harmadfokú égési sérülése
T2340;A csukló és kéz k.m.n. fokú maródása
T2350;A csukló és kéz elsõfokú maródása
T2360;A csukló és kéz másodfokú maródása
T2370;A csukló és kéz harmadfokú maródása
T2400;A csípõ és alsó végtag k.m.n. fokú égési sérülése, kivéve boka és láb
T2410;A csípõ és alsó végtag elsõfokú égési sérülése, kivéve a boka és láb
T2420;A csípõ és alsó végtag másodfokú égési sérülése, kivéve a boka és láb
T2430;A csípõ és alsó végtag harmadfokú égési sérülése, kivéve a boka és láb
T2440;A csípõ és alsó végtag k.m.n. fokú maródása, kivéve a boka és láb
T2450;A csípõ és alsó végtag elsõfokú maródása, kivéve a boka és láb
T2460;A csípõ és alsó végtag másodfokú maródása, kivéve a boka és láb
T2470;A csípõ és alsó végtag harmadfokú maródása, kivéve a boka és láb
T2500;A boka és láb k.m.n. fokú égési sérülése
T2510;A boka és láb elsõfokú égési sérülése
T2520;A boka és láb másodfokú égési sérülése
T2530;A boka és láb harmadfokú égési sérülése
T2540;A boka és láb k.m.n. fokú maródása
T2550;A boka és láb elsõfokú maródása
T2560;A boka és láb másodfokú maródása
T2570;A boka és láb harmadfokú maródása
T2600;A szemhéj és szemkörüli terület égése
T2610;A szaruhártya és kötõhártya égése
T2620;A szemgolyó szakadásával és elpusztulásával járó égés
T2630;A szem és függelékei más részeit érintõ égés
T2640;A szem és függelékeinek égése, rész k.m.n.
T2650;A szemhéj és szemkörüli terület maródása
T2660;A szaruhártya és kötõhártya maródása
T2670;A szemgolyó szakadásával és elpusztulásával járó maródás
T2680;A szem és függelékei más részeit érintõ maródás
T2690;A szem és függelékeinek maródása, rész k.m.n.
T2700;A gége és légcsõ égése
T2710;A gégét, légcsövet és tüdõt érintõ égés
T2720;A légzõrendszer egyéb részeinek égése
T2730;A légzõrendszer égése, k.m.n.
T2740;A gége és légcsõ maródása
T2750;A gégét, légcsövet és tüdõt érintõ maródás
T2760;A légzõrendszer egyéb részeinek maródása
T2770;A légzõrendszer k.m.n. részének maródása
T2800;A száj és garat égése
T2810;A nyelõcsõ égése
T2820;Az emésztõrendszer más részének égése
T2830;A belsõ húgy-ivarszervek égése
T2840;Más, k.m.n. belsõ szerv égése
T2850;A száj és garat maródása
T2860;A nyelõcsõ maródása
T2870;Az emésztõrendszer más részeinek maródása
T2880;A belsõ húgy-ivarszervek maródása
T2890;Más és k.m.n. belsõ szervek maródása
T2900;Több testtájék égési sérülése, foka nem meghatározott
T2910;Több testtájék égési sérülése, elsõfoknál nem nagyobb
T2920;Több testtájék égési sérülése, másodfoknál nem nagyobb
T2930;Több testtájék égési sérülése, az egyik legalább harmadfokú
T2940;Több testtájék maródása foka nem meghatározott
T2950;Több testtájék maródása, elsõfoknál nem nagyobb
T2960;Több testtájék maródása, másodfoknál nem nagyobb
T2970;Több testtájék maródása, az egyik legalább harmadfokú
T3000;Nem meghatározott testtájék égési sérülése, foka nem meghatározott
T3010;Nem meghatározott testtájék elsõfokú égési sérülése
T3020;Nem meghatározott testtájék másodfokú égési sérülése
